id,en,fr,es,ru,zh,de,bn
spatialBbxLngMax,Max. longitude,Long. max.,,,,,
spatialBbxLatMin,Min. latitude,Lat. min.,,,,,
spatialBbxLatMax,Max. latitude,Lat. max.,,,,,
contactTitle,Contacts,Contacts,,,,,
contactDesc,Information about people or organisation related to this data,Information à propos des personnes ou organisations liées à la donnée,,,,,
contactListTitle,List of contacts,Liste des contacts,,,,,
contactItemTitle,Contact,Contact,,,,,
contactFunction,Function,Fonction,,,,,
contactFunctionDesc,"Name of the contact function, e.g. Administrator, Publisher","Nom de la fonction du contact, ex. Administrateur, Editeur",,,,,
contactName,Contact name,Nom du contact,,,,,
contactAddress,Contact address,Addresse du contact,,,,,
contactEmail,Contact email,Email du contact,,,,,
targetTitle,Access,Accès,,,,,
targetDesc,Modality and restriction of access to the data,Modalité et restriction d'accès à la donnée,,,,,
targetRolesTitle,Roles,Rôles,,,,,
targetRolesDesc,Roles allowed to read,Rôles autorisés a lire,,,,,
targetRoleItemTitle,Role,Role,,,,,
targetRolesListTitle,List of roles,Liste des rôles,,,,,
originTitle,Source,Origine,,,,,
originDesc,Origin of the data and how to retrieve it,Origine de la donnée et comment la récupérer,,,,,
originSourcesTitle,Sources,Sources,,,,,
originSourcesDesc,Method to retrieve the data,Méthode pour récupérer la donnée,,,,,
originSourcesList,List of sources,Liste des sources,,,,,
originSourceTitle,Source,Source,,,,,
originSourceUrlTitle,URL,URL,,,,,
originSourceIsFullRequestTitle,The url contain a request to retrieve the data automatically,L'url contient une requête pour récupérer automatiquement la donnée,,,,,
attributesTitle,Attributes,Attributs,,,,,
attributesDesc,Description of the attributes contained in the data,Description des attributs de la donnée,,,,,
attributesListTitle,Attributes list,Liste d'attributs,,,,,
attributeItemTitle,Attribute,Attribut,,,,,
attributeNameTitle,Attribute name,Nom de l'attribut,,,,,
attributeDescTitle,Attribute description,Description de l'attribut,,,,,
langTitle,Language,Langue,,,,,
langDesc,Language(s) used in content,Langue(s) utilisée dans le contenu,,,,,
langListTitle,List of languages,Liste des langues,,,,,
langListDesc,Two letters code of languages,Code de deux lettres minuscules,,,,,
langItemTitle,Language,Langue,,,,,
licenseTitle,Licensing,Licence,,,,,
licenseDesc,"If any, description of the data licenses","Si applicable, description des licences de la donnée",,,,,
licenseListTitle,List of licences,Liste des licences,,,,,
licenseListDesc,Name and/or description of the licence,Nom et/ou description de la licence,,,,,
licenseItemTitle,License,Licence,,,,,
licenseName,Name,Nom,,,,,
licenseText,Text,Texte,,,,,
additionalDocTitle,Annexes,Annexes,,,,,
additionalDocDesc,"If any, list of additional documents","Si applicable, liste des documents additionnels",,,,,
additionalDocListTitle,List of annexes,Liste des annexes,,,,,
additionalDocListDesc,Related documents such as technical information about a dataset,"Documents liés, par example documentation technique, article scientifique ou autre",,,,,
additionalDocItemTitle,Document,Document,,,,,
additionalDocItemUrl,URL to the document,Url pointant vers le document,,,,,
dataIntegrityTitle,Integrity,Intégrité,,,,,
dataIntegrityDesc,Evaluation of the data integrity,Evaluation de l'intégrité des données,,,,,
4.1.1,Is the data documented?,Est-ce que la donnée est documentée ?,,,,,
4.1.1Desc,Is the data documented?,Est-ce que la donnée est documentée ?,,,,,
4.1.2,Does the data provider have the relevant mandate?,Est-ce que le fournisseur de la donnée fait-il autorité ? ,,,,,
4.1.2Desc,Does the data provider have the relevant mandate?,Est-ce que le fournisseur de la donnée fait-il autorité ? ,,,,,
4.1.3,Is the data subject to internal quality control?,Est-ce que la donnée fait l'objet d'un contrôle de qualité interne ?,,,,,
4.1.3Desc,Is the data subject to internal quality control?,Est-ce que la donnée fait l'objet d'un contrôle de qualité interne ?,,,,,
4.1.4,Is the data subject to external quality control?,Est-ce que la donnée fait l'objet d'un contrôle de qualité externe ?,,,,,
4.1.4Desc,Is the data subject to external quality control?,Est-ce que la donnée fait l'objet d'un contrôle de qualité externe ?,,,,,
4.2.1,Is the data machine readable?,Est-ce que le format de la donnée est-il conforme à un standard de syntaxe ?,,,,,
4.2.1Desc,Is the data machine readable?,Est-ce que le format de la donnée est-il conforme à un standard de syntaxe ?,,,,,
4.2.2,Is the data available online?,Est-ce que la donnée est disponible en ligne ?,,,,,
4.2.2Desc,Is the data available online?,Est-ce que la donnée est disponible en ligne ?,,,,,
4.2.3,Is the data available in a non-fragmented state?,Est-ce que la donnée est disponible dans un état non fragmenté ?,,,,,
4.2.3Desc,Is the data available in a non-fragmented state?,Est-ce que la donnée est disponible dans un état non fragmenté ?,,,,,
4.2.4,Does the data compy with OGC ?,Est-ce que la donnée est conforme au standard OGC ?,,,,,
4.2.4Desc,Does the data compy with OGC ?,Est-ce que la donnée est conforme au standard OGC ?,,,,,
4.3.1,Is the data publicly available?,Est-ce que la donnée est publique ?,,,,,
4.3.1Desc,Is the data publicly available?,Est-ce que la donnée est publique ?,,,,,
4.3.2,Is the data accessible to the public without discrimination fo users?,Est-ce que la donnée est disponible sans discrimination ?,,,,,
4.3.2Desc,Is the data accessible to the public without discrimination fo users?,Est-ce que la donnée est disponible sans discrimination ?,,,,,
4.3.3,Is the data available free of charge?,Est-ce que la donnée est disponible sans frais ?,,,,,
4.3.3Desc,Is the data available free of charge?,Est-ce que la donnée est disponible sans frais ?,,,,,
4.3.4,Is there an open licence for the data?,Est-ce que la donnée a-t-elle une licence libre ?,,,,,
4.3.4Desc,Is there an open licence for the data?,Est-ce que la donnée a-t-elle une licence libre ?,,,,,
4.4.1,Does the data provider have the technical capacity to manage and update the layer?,Est-ce que le fournisseur a-t-il la capacité de gérer et mettre à jour la donnée ?,,,,,
4.4.1Desc,Does the data provider have the technical capacity to manage and update the layer?,Est-ce que le fournisseur a-t-il la capacité de gérer et mettre à jour la donnée ?,,,,,
4.4.2,Does the data provider have a long-term mandate and financial means?,Est-ce que le fournisseur a-t-il un mandat et un financement à long terme ?,,,,,
4.4.2Desc,Does the data provider have a long-term mandate and financial means?,Est-ce que le fournisseur a-t-il un mandat et un financement à long terme ?,,,,,
4.4.3,Can the data layer be dynamically streamed and shared using an API?,Est-ce que la donnée peut-être être dynamiquement optenue et partagée via une API ?,,,,,
4.4.3Desc,Can the data layer be dynamically streamed and shared using an API?,Est-ce que la donnée peut-être être dynamiquement optenue et partagée via une API ?,,,,,
4.4.4,Does the data support measuring of SDG targets?,Est-ce que la donnée satisfait les but des SDG's ?,,,,,
4.4.4Desc,Does the data support measuring of SDG targets?,Est-ce que la donnée satisfait les but des SDG's ?,,,,,
continual,Data is repeatedly and frequently updated,La donnée est mise à jour en continu,,,,,
daily,Data is updated each day,La donnée est mise à jour chaque jour,,,,,
weekly,Data is updated on a weekly basis,La donnée est mise à jour chaque semaine,,,,,
fortnightly,Data is updated every two weeks,La donnée est mise à jour toutes les deux semaines,,,,,
monthly,Data is updated each month,La donnée est mise à jour tous les mois,,,,,
quarterly,Data is updated every three months,La donnée est mise à jour tous les trois mois,,,,,
biannually,Data is updated twice each year,La donnée est mise à jour deux fois par année,,,,,
annually,Data is updated every year,La donnée est mise à jour chaque année,,,,,
asNeeded,Data is updated as deemed necessary,La donnée est mise à jour lorsque nécessaire,,,,,
irregular,Data is updated in intervals that are uneven in duration,La donnée est mise à jour d'une manière irrégulière,,,,,
notPlanned,There are no plans to update the data,La donnée n'a pas de mise à jour prévue,,,,,
unknown,Frequency of maintenance for the data is not known,La donnée n'a pas de fréquence de mise à jour connue,,,,,
publisher,Publisher,Éditeur,,,,,
maintainer,Maintainer,Mainteneur,,,,,
other,Other,Autre,,,,,
dontKnow,I don't know,Je ne sais pas,,,,,
no,No,Non,,,,,
partial,Partially,Partiel,,,,,
yes,Yes,Oui,,,,,
msgSuccessImport,Data imported successfully,Donnée importée avec succès,,,,,
msgErrorImport,Data was not imported successfully.,La donnée n'a pas été importée avec succès.,,,,,
msgProcessWait,"Data is processed, please wait","La donnée est préparée, veuillez attendre",,,,,
selectOptionalViewAttribute,Select attribute,Selectionnez un attribut,,,,,
summaryAttribute,Summary ,Résumé,,,,,
