id,en,fr,es,ru,zh,de,bn
contactItemTitle,Contact,Contact,,,,,
contactFunction,Function,Fonction,,,,,
contactFunctionDesc,"Name of the contact function, e.g. Administrator, Publisher","Nom de la fonction du contact : par ex. Administrateur, Editeur",,,,,
contactName,Contact name,Nom du contact,,,,,
contactAddress,Contact address,Addresse du contact,,,,,
contactEmail,Contact email,Email du contact,,,,,
targetTitle,Access,Accès,,,,,
targetDesc,Modality and restriction of access to the data,Modalité et restriction d'accès à la donnée,,,,,
targetRolesTitle,Roles,Rôles,,,,,
targetRolesDesc,Roles allowed to read,Rôles autorisés à lire,,,,,
targetRoleItemTitle,Role,Rôle,,,,,
targetRolesListTitle,List of roles,Liste des rôles,,,,,
originTitle,Source,Origine,,,,,
originDesc,Origin of the data and how to retrieve it,Origine de la donnée et comment la récupérer,,,,,
originSourcesTitle,Sources,Sources,,,,,
originSourcesDesc,Method to retrieve the data,Méthode de récupération de la donnée,,,,,
originSourcesList,List of sources,Liste des sources,,,,,
originSourceTitle,Source,Source,,,,,
originSourceUrlTitle,URL,URL,,,,,
originSourceIsFullRequestTitle,The url contain a request to retrieve the data automatically,L'URL contient une requête pour récupérer automatiquement la donnée,,,,,
attributesTitle,Attributes,Attributs,,,,,
attributesDesc,Description of the attributes contained in the data,Description des attributs de la donnée,,,,,
attributesListTitle,Attributes list,Liste d'attributs,,,,,
attributeItemTitle,Attribute,Attribut,,,,,
attributeNameTitle,Attribute name,Nom de l'attribut,,,,,
attributeDescTitle,Description,Description,,,,,
langTitle,Language,Langue,,,,,
langDesc,Language(s) used in content,Langue(s) utilisée(s) dans le contenu,,,,,
langListTitle,List of languages,Liste des langues,,,,,
langListDesc,Two letters code of languages,Code de deux lettres minuscules,,,,,
langItemTitle,Language,Langue,,,,,
licenseTitle,Licensing,Licence,,,,,
licenseDesc,"If any, description of the data licenses","Si applicable, description des licences de la donnée",,,,,
licenseListTitle,List of licences,Liste des licences,,,,,
licenseListDesc,Name and/or description of the licence,Nom et/ou description de la licence,,,,,
licenseItemTitle,License,Licence,,,,,
licenseName,Name,Nom,,,,,
licenseText,Text,Texte,,,,,
additionalDocTitle,Annexes,Annexes,,,,,
additionalDocDesc,"If any, list of additional documents","Si applicable, liste des documents additionnels",,,,,
additionalDocItemsTitle,List of annexes,Liste des annexes,,,,,
additionalDocItemsDesc,Related documents such as technical information about a dataset,"Documents liés, par example documentation technique, article scientifique ou autre",,,,,
additionalDocItemTitle,Document,Document,,,,,
additionalDocItemUrl,URL to the document,URL pointant vers le document,,,,,
dataIntegrityTitle,Integrity,Intégrité,,,,,
dataIntegrityDesc,Evaluation of the data integrity,Evaluation de l'intégrité des données,,,,,
di_1_1,Is the data documented?,La donnée est-elle documentée?,,,,,
di_1_1_desc,"Does the data provider have the capacity to document the data and provide basic metadata (e.g. name, coordinate system, year, update frequency, description, and methodology)? ","Le fournisseur de la donnée a-t'il  la capacité de documenter la donnée et de fournir un jeu de métadonnées basique (par ex. système de coordonnées, année, fréquence de mise à jour, description, méthodologie sous-jacente) ?",,,,,
di_1_2,Does the data provider have the relevant mandate?,Le fournisseur de la donnée fait-il autorité ?,,,,,
di_1_2_desc,Does the data provider have a mandate or legal requirement to collect the data?,Le fournisseur de la donnée a-t'il un mandat officiel pour collecter la donnée ?,,,,,
di_1_3,Is the data subject to internal quality control?,La donnée fait-elle l'objet d'un contrôle interne de qualité ?,,,,,
di_1_3_desc,Has the data been subject to data quality assurance and control processes? ,La donnée a-t'elle fait l'objet de processus de contrôle et d'assurance qualité ?,,,,,
di_1_4,Is the data subject to external quality control?,La donnée fait-elle l'objet d'un contrôle externe de qualité ?,,,,,
di_1_4_desc,Are the data sets subject to external auditing or peer review processes?  ,Le jeu de données est-il assujetti à des processus d'audit externe ou d'examen par les pairs?,,,,,
di_2_1,Is the data machine-readable?,La donnée est-elle lisible par la machine ?,,,,,
di_2_1_desc,"Data is machine-readable if it is in a format that can be easily structured and exploited by a computer. Good examples of machine-readable files are SQL, JSON, XML, DBF and to a lesser extent Excel","Une donnée est 'lisible par machine' quand elle est dans un format qui peut facilement être structuré et exploité par un ordinateur. Des exemple intéressants de fichiers ‘lisibles par machine’ sont SQL, JSON, XML, DBF et dans une moindre mesure Excel",,,,,
di_2_2,Is the data available online?,La donnée est-elle disponible en ligne ?,,,,,
di_2_2_desc,This question addresses whether the data is available online from an official source. This does not mean that the data is necessarily updated or maintained,Cette question porte sur la disponibilité de la donnée à partir d'une source en ligne. Cela ne signifie pas que la donnée est maintenue,,,,,
di_2_3,Is the data available in a non-fragmented state?,La donnée est-elle disponible dans un état non fragmenté ?,,,,,
di_2_3_desc,"Data is available in bulk if the whole dataset can be downloaded or accessed easily. Conversely it is considered non-bulk if the citizens are limited to just parts of the dataset (e.g., if restricted to querying a web form and retrieving a few results at a time)","La donnée est disponible sous forme non fragmentée si l'ensemble du jeu de données peut être téléchargé ou est facilement accessible. Inversement, elle est considérée comme fragmentée si les citoyens sont limités à l'obtention d'une partie du jeu de données (p. ex., si limité à l'interrogation d'un formulaire Web et à la récupération de quelques résultats à la fois à partir d'une très grande base de données)",,,,,
di_2_4,Does the data comply with OGC standards? ,La donnée est-elle conforme avec les standards de l'OGC ?,,,,,
di_2_4_desc,"Is the data compliant with applicable Open Geospatial Consortium standards, e.g. Web Map Service (WMS)?","La donnée est-elle conforme avec les standards de l'Open Geospatial Consortium, par ex. le Web Map Service (WMS) ?",,,,,
di_3_1,Is the data publicly available?,La donnée est-elle disponible publiquement?,,,,,
di_3_1_desc,‘Publicly available’ means that the data can be accessed by the public in some form either from websites or physical documents (even if the data is available for purchase),‘Public’ signifie que le public peut accéder à la donnée depuis un site web ou sur support physique (même si la donnée est payante),,,,,
di_3_2,Is the data accessible to the public without discrimination of users?,La donnée est-elle accessible au public sans discrimination des utiisateurs ?,,,,,
di_3_2_desc,Can any user anonymously download the data or is registration required?,Est-ce que n'importe quel utilisateur peut télécharger la donnée de manière anonyme ou un enregistrement est-il nécessaire ?,,,,,
di_3_3,Is the data available free of charge?,La donnée est-elle disponible gratuitement ?,,,,,
di_3_3_desc,"Compliance with GEOSS data sharing principle #2: ""where international instruments, national policies or legislation preclude the sharing of data as Open Data, data should be made available with minimal restrictions on use and at no more than the cost of reproduction and distribution;""","Conformité avec le deuxième principe de partage de la donnée de GEOSS : ""lorsque les instruments internationaux appropriés et les politiques et législations nationales empêchent le partage de la donnée de manière ouverte, les données, métadonnées et produits seront rendus disponibles au plus vite et au coût minimal, c'est-à-dire pas plus chers que leur coût de reproduction et de distribution;""",,,,,
di_3_4,Is there an open license for the data?,La donnée possède t'elle une license ouverte ?,,,,,
di_3_4_desc,"This question addresses whether the dataset is openly licensed. It needs to state the terms of use or license that allow anyone to freely use, reuse or redistribute the data (subject to attribution and share alike requirements)","Cette question porte sur le fait que la donnée soit soumise à licence ouverte. Il convient de préciser les conditions d'utilisation qui permettent à quiconque d'utiliser librement, réutiliser ou redistribuer la donnée (sujet tout au plus à citation ou au partage à l'identique)",,,,,
di_4_1,Does the data provider have the technical capacity to manage and update the layer?,Le fournisseur de la donnée a-t'il la capacité de gérer et de mettre à jour la donnée?,,,,,
di_4_1_desc,"The data provider is able to maintain, update and publish it on a regular basis ","Le fournisseur de la donnée a la capacité de maintenir, de mettre à jour et de publier la couche de manière régulière (pas nécessairement en WMS)",,,,,
di_4_2,Does the data provider have a long-term mandate and financial means?,Le fournisseur de la donnée a-t'il un mandat à long terme et des moyens financiers pour le mener à bien ?,,,,,
di_4_2_desc,Does the data provider have a long-term mandate and related resources to ensure continuity in data collection and publication? ,Le fournisseur de la donnée a-t'il un mandat à long terme et les ressources nécessaires pour garantir la continuité de la collecte et la publication de la donnée ?,,,,,
di_4_3,Can the data layer be dynamically streamed and shared using an API,La couche peut-elle être diffusée dynamiquement et partagée en utilisant une API ?,,,,,
di_4_3_desc,Is the data interoperable with MAP-X to enable dynamic streaming/automatic updates? ,La donnée est-elle desservie par la plateforme en ligne MAP-X de manière dynamique afin de refléter les mises à jour côté fournisseur de la donnée ?,,,,,
di_4_4,Does the data support measuring of SDGs?,La donnée supporte-t'elle la mesure des ODD ? ,,,,,
di_4_4_desc,Can the dataset be aligned with measuring progress towards achievement of Sustainable Development Goals?,Le jeu de donnée peut-il être aligné avec la mesure du progrès dans l'accomplissement des Objectifs de Développement Durable ?,,,,,
continual,Data is repeatedly and frequently updated,La donnée est mise à  jour en continu,,,,,
daily,Data is updated each day,La donnée est mise à  jour chaque jour,,,,,
weekly,Data is updated on a weekly basis,La donnée est mise à  jour chaque semaine,,,,,
fortnightly,Data is updated every two weeks,La donnée est mise à  jour 2 fois par mois,,,,,
monthly,Data is updated each month,La donnée est mise à  jour tous les mois,,,,,
quarterly,Data is updated every three months,La donnée est mise à  jour tous les trois mois,,,,,
biannually,Data is updated twice each year,La donnée est mise à  jour deux fois par an,,,,,
annually,Data is updated every year,La donnée est mise à jour chaque année,,,,,
asNeeded,Data is updated as deemed necessary,La donnée est mise à  jour lorsque cela est nécessaire,,,,,
irregular,Data is updated in intervals that are uneven in duration,La donnée est mise à jour de manière irrégulière,,,,,
notPlanned,There are no plans to update the data,La donnée n'a pas de mise à jour prévue,,,,,
unknown,Frequency of maintenance for the data is not known,La donnée n'a pas de fréquence de mise à jour connue,,,,,
publisher,Publisher,Editeur,,,,,
maintainer,Maintainer,Mainteneur,,,,,
other,Other,Autre,,,,,
dontKnow,I don't know,Je ne sais pas,,,,,
no,No,Non,,,,,
partial,Partially,Partiel,,,,,
yes,Yes,Oui,,,,,
msgSuccessImport,Data imported successfully,Donnée importée avec succès,,,,,
msgSuccessUpdate,Meta data successfully updated,Métadonnées mises à jour,,,,,
msgSuccessDelete,Source successfully removed,Source supprimée avec succès,,,,,
msgErrorImport,Data was not imported successfully.,La donnée n'a pas été importée avec succès.,,,,,
msgProcessWait,"Data is processed, please wait","La donnée est préparée, veuillez attendre",,,,,
selectOptionalViewAttribute,Select attribute,Selectionnez un attribut,,,,,
summaryAttribute,Summary ,Résumé,,,,,
optionalViewTitle,Optional creation of a new view,Création facultative d'une nouvelle vue,,,,,
optionalViewText,Select an attribute from the source to create a simple view or click on finish to end the importation,"Sélectionnez un attribut de la source pour créer une vue simple ou cliquez sur finir pour terminer l'importation,",,,,,
optionalViewShowAttributePreview,Show a summary of the attributes names and values,Afficher un résumé des attributs,,,,,
confirmSourceRemove,Are you sure to delete the source with all related views and metadata ? This can't be undone,Êtes-vous certain de vouloir supprimer cette source ainsi que toutes les vues et métadonnées liées ? L'opération ne peut pas être annulée.,,,,,
