id,en,fr,es,ru,zh,de,bn,fa,ps
contact_name,Contact name,Nom du contact,Nombre del contacto,NA,NA,NA,NA,نام مخاطب  ,د مخاطبینو نومونه
contact_title,Contacts,Contacts,Contactos,NA,NA,NA,NA,مخاطبین,مخاطبین
continual,Data is repeatedly and frequently updated,La donnée est mise à  jour en continu,Los datos son actualizados con frecuencia,NA,NA,NA,NA,اطلاعات مکرراَ و دوره ایی تجدید شده اند,ډیټا په دوامدار او دوراني ډول نوې کیږي.
daily,Data is updated each day,La donnée est mise à  jour chaque jour,Los datos son actualizados todos los días,NA,NA,NA,NA,اطلاعات هر روز تجدید شده اند,ډیټا هره ورځ نوې کیږي.
data_integrity_desc,Evaluation of the data integrity,Evaluation de l'intégrité des données,Evaluación de la integridad de los datos,NA,NA,NA,NA,ارزیابی یکپارچگی اطلاعات ,د ډیټا د بشپړتیا ارزیابي
data_integrity_title,Integrity,Intégrité,Integridad,NA,NA,NA,NA,یکپارچگی ,بشپړتیا
di_1_1,Is the data documented?,La donnée est-elle documentée?,¿Los datos están documentados?,NA,NA,NA,NA,آیا اطلاعات مستند شده اند؟,آیا ډیتا مستنده شوېده؟
di_1_1_desc,"Does the data provider have the capacity to document the data and provide basic metadata (e.g. name, coordinate system, year, update frequency, description, and methodology)? ","Le fournisseur de la donnée a-t'il  la capacité de documenter la donnée et de fournir un jeu de métadonnées basique (par ex. système de coordonnées, année, fréquence de mise à jour, description, méthodologie sous-jacente) ?",Tiene el proveedor de datos la capacidad de documentar los datos y proporcionar metadatos básicos (por ejemplo,NA,NA,NA,NA,آیا تولید کننده اطلاعات ظرفیت سند سازی اطلاعات و تهیه ابرداده اولیه را  (مثل. نام، سیستم کواردینات، سال، دوره به روز رسانی، شرح، و روش ) دارند؟,آيا د ډیټا تولیدوونکئ ددې وړتیا لري چي ډیټا مستنده کړي او ابتدائي میټا ډیټا (لکه: نوم، د کوردیناتو سیستم، کال، د نوي کولو نیټه، تفصیل، او میتود) وړاندې کړي؟
di_1_2,Does the data provider have the relevant mandate?,Le fournisseur de la donnée fait-il autorité ?,¿El proveedor de datos tiene un mandato relevante?,NA,NA,NA,NA,آیا تولید کننده اطلاعات حکم مرتبط را دارد؟,آیا د ډیټا وړاندې کوونکئ مربوطه حکم لري؟
di_1_2_desc,Does the data provider have a mandate or legal requirement to collect the data?,Le fournisseur de la donnée a-t'il un mandat officiel pour collecter la donnée ?,¿El proveedor de datos tiene un mandato o requisito legal para recolectar los datos?,NA,NA,NA,NA,آیا تولید کننده اطلاعات حکم یا تقاضای قانونی برای جمع آوری اطلاعات دارد؟,آیا د ډیټا وړاندې کوونکئ د ډیټا راټولولو قانوني جواز لري؟
di_1_3,Is the data subject to internal quality control?,La donnée fait-elle l'objet d'un contrôle interne de qualité ?,¿Están los datos sujetos al control de calidad interno?,NA,NA,NA,NA,آیا اطلاعات به کنترول کیفیت داخلی می پردازند؟,آیا ډیټا د داخلي کیفیت کنټرول تابع ده؟
di_1_3_desc,Has the data been subject to data quality assurance and control processes? ,La donnée a-t'elle fait l'objet de processus de contrôle et d'assurance qualité ?,¿Los datos han seguido un procesos de control de calidad?,NA,NA,NA,NA,آیا اطلاعات به فرآیندهای اطمینان و کنترل پروسه کیفیت اطلاعات پرداخته اند؟,آیآ د ډیټا د کیفیت څخه اطمینان حاصل شوی دی؟
di_1_4,Is the data subject to external quality control?,La donnée fait-elle l'objet d'un contrôle externe de qualité ?,¿Los datos han seguido un procesos de control de calidad externo?,NA,NA,NA,NA,آیا اطلاعات تحت کنترول کیفیت خارجی قرار گرفته است؟,آیا د ډیټآ د خارجی کیفیت کنټرول شوی دی؟
di_1_4_desc,Are the data sets subject to external auditing or peer review processes?  ,Le jeu de données est-il assujetti à des processus d'audit externe ou d'examen par les pairs?,¿Están las bases de datos sujetos a procesos de auditoría externa o revisión por pares?,NA,NA,NA,NA,آیا اطلاعات تحت تفتیش خارجی یا  پروسه مرور  قرار گرفته است؟,آیا ډیټا د بهرنیو همکارانو د پلټنو او بیا کتنې پروسې طۍ کړې دي؟
di_2_1,Is the data machine-readable?,La donnée est-elle lisible par la machine ?,¿Los datos son legibles por máquina?,NA,NA,NA,NA,آیا اطلاعات  قابل خواندن برای ماشین است؟,آیا ډیټا د ماشین په واسطه د لوستلو وړتیا لري؟
di_2_1_desc,"Data is machine-readable if it is in a format that can be easily structured and exploited by a computer. Good examples of machine-readable files are SQL, JSON, XML, DBF and to a lesser extent Excel","Une donnée est 'lisible par machine' quand elle est dans un format qui peut facilement être structuré et exploité par un ordinateur. Des exemple intéressants de fichiers ‘lisibles par machine’ sont SQL, JSON, XML, DBF et dans une moindre mesure Excel","Los datos son legibles por máquina si se trata de un formato que puede ser fácilmente estructurado y explotado por un ordenador. Los buenos ejemplos de archivos legibles por máquina son SQL, JSON, XML, DBF y en menor medida Excel",NA,NA,NA,NA,اگر اطلاعات دارای ساختار آسان بوده و  توسط کمپیوتر به آسانی قابل استفاده باشد قابلیت خوانش توسط ماشین را داراست. مثال های خوب فایل های که قابلیت خوانش توسط ماشین را دارد SQL، JSON، XML، DBF و حجم کم اکسل میباشند,که چیرې ډیټا په داسې یو چوکاټ کې وي چې په آسانه تنظیم او د کمپیوټر په واسطه د کارولو وړتیا ولري د ماشین په واسطه د لوستلو وړتیا لري. د ماشین په وسیله د لوستلو وړ فایلونو ښې بیلګې SQL، JSON، XML، DB او کم حجم لرونکې ایکسل فایلونه دي.
di_2_2,Is the data available online?,La donnée est-elle disponible en ligne ?,¿Los datos están disponibles en línea?,NA,NA,NA,NA,آیا اطلاعات آنلاین در دسترس است؟,آیا ډیټا په آنلاین بڼه شتون لري؟
di_2_2_desc,This question addresses whether the data is available online from an official source. This does not mean that the data is necessarily updated or maintained,Cette question porte sur la disponibilité de la donnée à partir d'une source en ligne. Cela ne signifie pas que la donnée est maintenue,Esta pregunta se refiere a si los datos están disponibles en línea desde una fuente oficial. Esto no significa que los datos sean necesariamente actualizados o mantenidos,NA,NA,NA,NA,این سوال بیانگر این است که آیا اطلاعات از یک منبع رسمی آنلاین در دسترس است. این بدان معنا نیست که داده ها لزوما تجدید و یا نگهداری شده است.,دا پوښتنه دا په ډاګه کوي چې آیا ډیټا په یوه رسمي سرچینه کې په آنلاین بڼه شتون لري او که نه. دا په دې معنا نه ده چې ډیټا په ضروري شکل شامله شوې او یا نوې شوې ده.
di_2_3,Is the data available in a non-fragmented state?,La donnée est-elle disponible dans un état non fragmenté ?,NA,NA,NA,NA,NA,آیا اطلاعات در یک حالت غیر تفکیک شده در دسترس هستند؟,آیا ډیټا په یو غیر تفکیک شوې بڼه د لاسرسي وړ ده؟
di_2_3_desc,"Data is available in bulk if the whole dataset can be downloaded or accessed easily. Conversely it is considered non-bulk if the citizens are limited to just parts of the dataset (e.g., if restricted to querying a web form and retrieving a few results at a time)","La donnée est disponible sous forme non fragmentée si l'ensemble du jeu de données peut être téléchargé ou est facilement accessible. Inversement, elle est considérée comme fragmentée si les citoyens sont limités à l'obtention d'une partie du jeu de données (p. ex., si limité à l'interrogation d'un formulaire Web et à la récupération de quelques résultats à la fois à partir d'une très grande base de données)","Los datos están disponibles en forma no fragmentada. Es decir, si todo el conjunto de datos puede ser descargado o es de fácil acceso en un solo paso. A la inversa, se considera fragmentada si los ciudadanos se limitan a la obtención de una porción del conjunto de datos (p. Ej., Si está restringido a consultar un formulario web y recuperar unos pocos resultados a la vez)",NA,NA,NA,NA,اطلاعات به طور توده‌یی در دسترس هستند اگر  مجموعه اطلاعات به راحتی قابل دانلود و یا دسترسی میباشد. برعکس، اطلاعات غیر توده‌یی هستند٬‌در صورتیکه شهروندان تنها به بخش هایی از مجموعه اطلاعات دسترسی داشته باشند. (مثلا٬ اگر به پرس و جوی یک فورم انترنیتی محدودیت وجود داشته و نتایج اندک در یک زمان بدست آید),که چیرې ټول ډیټاسیټ په آسانۍ سره د لاسرسي او ډانلوډ وړ وي ډیټا په پراخه کچه د لاسرسي وړ ګڼل کېږي، برعکس؛ که چېرې د ګټه اخیستونکي لاسرسئ  صرف د ډیټاسیټ یوې برخې ته محدود وي ډیټا په پراخه کچه د لاسرسي وړ نه ګڼل کېږي ( د مثال په توګه که چېرې د یوه انټرنیټي فورم د پوښتنو او پلټنو په اړه محدودیت شتون ولري او لږ معلومات په یوه وخت کې لاس ته راشي)
di_2_4,Does the data comply with OGC standards? ,La donnée est-elle conforme avec les standards de l'OGC ?,¿Los datos cumplen con los estándares OGC?,NA,NA,NA,NA,آیا اطلاعات با ستندردهای OGC مطابقت دارد؟,NA
di_2_4_desc,"Is the data compliant with applicable Open Geospatial Consortium standards, e.g. Web Map Service (WMS)?","La donnée est-elle conforme avec les standards de l'Open Geospatial Consortium, par ex. le Web Map Service (WMS) ?","¿Es compatible con los estándares de Open Geospatial Consortium, ej. Servicio de mapas web (WMS)?",NA,NA,NA,NA,آیا اطلاعات با استانداردهای کنسرسیوم مجتمع باز جغرافیایی مطابقت دارد؟ به عنوان مثال سرویس نقشه ویب (WMS),آیا ډیټا د خلاص جیوفضائي کانسرسیوم د سټنډرډونو لکه د بريښنایې نقشو د خدمتونو (WMS) مطابق ده؟
di_3_1,Is the data publicly available?,La donnée est-elle disponible publiquement?,¿Los datos están disponibles públicamente?,NA,NA,NA,NA,آیا اطلاعات به صورت عمومی در دسترس هستند؟,آیا ډیټا په عام ډول د لاسرسي وړ ده؟
di_3_1_desc,‘Publicly available’ means that the data can be accessed by the public in some form either from websites or physical documents (even if the data is available for purchase),‘Public’ signifie que le public peut accéder à la donnée depuis un site web ou sur support physique (même si la donnée est payante),"“A disposición publica"" significa que el público puede acceder a los datos de alguna forma",NA,NA,NA,NA," دسترس عموم"" بدین معنی است که اطلاعات توسط برخی افراد از طریق وب سایت ها یا اسناد فیزیکی قابل دسترس می باشند (حتی اگر اطلاعات برای خرید در دسترس باشند)",په عام ډول د لاسرسی وړ په دی معنا ده چې ډیټاګانې د عامو خلکو لپاره په هارډ شکل او هم د ویب سایټ له لارې د لاسرسي وړ دی( حتا که چیرې ډیټا د پلورلو لپاره آماده وي.
di_3_2,Is the data accessible to the public without discrimination of users?,La donnée est-elle accessible au public sans discrimination des utiisateurs ?,¿Los datos son accesibles al público sin discriminación de usuarios?,NA,NA,NA,NA,آیا اطلاعات بدون تبعیض کاربران قابل دسترس است؟,آیا ډیټا د عامو خلکو لپاره بدون له کوم تبعیض څخه د لاسرسي وړ ده؟
di_3_2_desc,Can any user anonymously download the data or is registration required?,Est-ce que n'importe quel utilisateur peut télécharger la donnée de manière anonyme ou un enregistrement est-il nécessaire ?,¿Puede cualquier usuario descargar los datos de forma anónima o se requiere registro?,NA,NA,NA,NA,آیا هر کاربر ناشناس می تواند اطلاعات را دانلود کند یا ثبت نام لازم است؟,آیا هر نا معلوم ګټه اخیستونکئ کولای شي چې ډیټا ډانلوډ کړي او یا د نوم ثبتول اړین دي.
di_3_3,Is the data available free of charge?,La donnée est-elle disponible gratuitement ?,¿Los datos están disponibles gratuitamente?,NA,NA,NA,NA,آیا اطلاعات به صورت رایگان در دسترس هستند؟,آیا ډیټا په وړیا ډول د لاسرسي وړ ده او که مصرف لري؟
di_3_3_desc,"Compliance with GEOSS data sharing principle #2: ""where international instruments, national policies or legislation preclude the sharing of data as Open Data, data should be made available with minimal restrictions on use and at no more than the cost of reproduction and distribution;""","Conformité avec le deuxième principe de partage de la donnée de GEOSS : ""lorsque les instruments internationaux appropriés et les politiques et législations nationales empêchent le partage de la donnée de manière ouverte, les données, métadonnées et produits seront rendus disponibles au plus vite et au coût minimal, c'est-à-dire pas plus chers que leur coût de reproduction et de distribution;""","En conformidad con el segundo principio de la distribución de la información de GEOSS: ""cuando los instrumentos internacionales",NA,NA,NA,NA,"مطابقت با اصل شریک سازی اطلاعات GEOSS # 2: زمانی که ابزارهای بین المللی، سیاست های ملی یا قوانین مانع شریک سازی اطلاعات به عنوان داده های باز ٬ می شود، داده ها باید با حداقل محدودیت های استفاده و نباید بالاتر از هزینه تولید و توزیع در دسترس قرار گیرد""","د GEOSS سره د ډیټا شریکولو دوهم اصل: "" په کوم ځای کې چې نړیوال وسایل، ملي پالیسۍ یا قوانین د ډیټاګانو د آزاد شریکولو مانع وي معلومات باید په ترټولو کم محدودیت او بدون د تولید له مصرف څخه د لاسرسي وړ وي."
di_3_4,Is there an open license for the data?,La donnée possède t'elle une license ouverte ?,NA,NA,NA,NA,NA,آیا یک مجوز باز برای اطلاعات وجود دارد؟,آیا د ډیټا لپاره کوم آزاد جواز وجود لري
di_3_4_desc,"This question addresses whether the dataset is openly licensed. It needs to state the terms of use or license that allow anyone to freely use, reuse or redistribute the data (subject to attribution and share alike requirements)","Cette question porte sur le fait que la donnée soit soumise à licence ouverte. Il convient de préciser les conditions d'utilisation qui permettent à quiconque d'utiliser librement, réutiliser ou redistribuer la donnée (sujet tout au plus à citation ou au partage à l'identique)",NA,NA,NA,NA,NA,این سوال بیانگر این است که آیا مجموعه اطلاعات به صورت باز قابل مجوز است. لازم است که شرایط استفاده یا مجوز  مشخص شود تا هرکسی بتواند آزادانه استفاده، استفاده مجدد یا توزیع مجدد داده ها را کند.  (با توجه به تخصیص و اشتراک گذاری الزامات مشترک),دا پوښتنه دا په ډاګه کوي چې آیا ډيټاسیت آزاد جواز لري. لازمه ګڼل کېږي چې د ګتې اخیستنې او یا جواز هغه شرطونه ذکر کړئ چې هر چاته اجازه ورکوي چې په وړیا ډول ترې ګټه واخلي، د ډیټا څخه بیا ګټه واخلي او یا بیا خپره کړي (د ګډو الزاماتو په نظر کې نیولو سره)
di_4_1,Does the data provider have the technical capacity to manage and update the layer?,Le fournisseur de la donnée a-t'il la capacité de gérer et de mettre à jour la donnée?,¿Tiene el proveedor de datos la capacidad técnica para gestionar y actualizar la capa?,NA,NA,NA,NA,آیا تولید کننده اطلاعات دارای ظرفیت تخصصی برای مدیریت و تجدید لایه هستند؟,آیا د ډیټا چمتو کوونکئ د لایو د تنظیم او نوي کولو تخنیکي ظرفیت لري؟
di_4_1_desc,"The data provider is able to maintain, update and publish it on a regular basis ","Le fournisseur de la donnée a la capacité de maintenir, de mettre à jour et de publier la couche de manière régulière (pas nécessairement en WMS)","El proveedor de datos es capaz de mantener, actualizar y publicar sobre una manera regular",NA,NA,NA,NA,تولید کننده اطلاعات قادر به حفظ، تجدید و انتشار آن به طور منظم است,د ډیټا چمتو کوونکئ ددې وړتیا لري چې ډیټا په نومال ډول شامله، نوې او خپره کړي.
di_4_2,Does the data provider have a long-term mandate and financial means?,Le fournisseur de la donnée a-t'il un mandat à long terme et des moyens financiers pour le mener à bien ?,¿El proveedor de datos tiene un mandato a largo plazo y medios financieros?,NA,NA,NA,NA,آیا تولید کننده اطلاعات دارای یک وظیفه درازمدت و با امکانات مالی است؟,آیا د ډيټا چمتو کوونکئ یوه اوږدمهاله دنده او مالي وسایل لري؟
di_4_2_desc,Does the data provider have a long-term mandate and related resources to ensure continuity in data collection and publication? ,Le fournisseur de la donnée a-t'il un mandat à long terme et les ressources nécessaires pour garantir la continuité de la collecte et la publication de la donnée ?,¿El proveedor de datos tiene un mandato a largo plazo y recursos relacionados para asegurar la continuidad en la recolección y publicación de datos?,NA,NA,NA,NA,آیا تولید کننده اطلاعات دارای مجوز دراز مدت و منابع مرتبط برای اطمینان از تداوم در جمع آوری و انتشار اطلاعات است؟,آیا د ډیټا چمتو کوونکئ یوه اوږدمهاله دنده او مربوطې سرچینې لري چې د ډیټا راټولولو او خپرولو د دوام څخه اطمینان ورکړي؟
di_4_3,Can the data layer be dynamically streamed and shared using an API,La couche peut-elle être diffusée dynamiquement et partagée en utilisant une API ?,¿Puede la capa de datos ser dinámicamente transmitida y compartida usando una API?,NA,NA,NA,NA,لایه اطلاعات می تواند به صورت دینامیک جریان داده شده و با استفاده از یک API به اشتراک گذاشته شود,آیا د ډیټا لایه په ډینامیک ډول خپریدلای او د API څخه په ګټه اخیستنه شریکیدلای شي؟
di_4_3_desc,Is the data interoperable with MAP-X to enable dynamic streaming/automatic updates? ,La donnée est-elle desservie par la plateforme en ligne MAP-X de manière dynamique afin de refléter les mises à jour côté fournisseur de la donnée ?,¿Los datos son interoperables con MAP-X para permitir la transmisión dinámica/automática de las actualizaciones?,NA,NA,NA,NA,"
آیا اطلاعات با MAP-X همکاری می کنند تا قابلیت های جریان دینامیکی / تجدید خودکار را فعال کنند؟",آیا ډیټا له MAP-X سره مطابقت لري چې په ډینامیک خپرولو او یا اتومات ډول نوي کیدلو کې مرسته وکړي؟
di_4_4,Does the data support measuring of SDGs?,La donnée supporte-t'elle la mesure des ODD ? ,¿Los datos apoyan a la medición de los ODS?,NA,NA,NA,NA,آیا اطلاعات از SDGs پشتبانی می کند؟,آیا ډيټا د SDGs په اندازه ګیرۍ کې مرسته کوي؟
di_4_4_desc,Can the dataset be aligned with measuring progress towards achievement of Sustainable Development Goals?,Le jeu de donnée peut-il être aligné avec la mesure du progrès dans l'accomplissement des Objectifs de Développement Durable ?,¿La base de datos puede estar alineada con la medición del progreso de los objetivos de desarrollo sostenible?,NA,NA,NA,NA,آیا  مجموعه اطلاعات با اندازه گیری پیشرفت جهت دستیابی به اهداف انکشاف پایدار٬‌همسو خواهد بود؟,آیا د معلوماتو مجموعه د دوامدارې پراختیا د موخو له پرمختګ سره سمون لري؟
dont_know,I don't know,Je ne sais pas,No se sabe,NA,NA,NA,NA,من نمی دانم,زه نه پوهیږم
fortnightly,Data is updated every two weeks,La donnée est mise à  jour 2 fois par mois,Los datos son actualizados 2 veces por mes,NA,NA,NA,NA,اطلاعات هر دو هفته تجدید می شوند,ډيټا هرې دوه اوونۍ وروسته نوې کیږي
irregular,Data is updated in intervals that are uneven in duration,La donnée est mise à jour de manière irrégulière,Los datos son actualizados de manera irregular,NA,NA,NA,NA,اطلاعات در فواصل زمانی که در طول زمان ناهموار هستند تحدید می شوند,ډیټا د نا معلومو دورو لپاره  تازه شوي
lang_desc,Language(s) used in content,Langue(s) utilisée(s) dans le contenu,Lengua(s) utilizada(s) en el contenido,NA,NA,NA,NA,زبان (زبانهای) که در محتوا استفاده شده است,په متن کې کارول شوې ژبه یا ژبې
lang_item_title,Language,Langue,Lengua,NA,NA,NA,NA,زبان,ژبه
lang_list_desc,Two letters code of languages,Code de deux lettres minuscules,Código de dos letras en minúscula ,NA,NA,NA,NA,دو دستورالعمل نامه از زبان ها,د ژبې دوه توریز کوډ
lang_list_title,List of languages,Liste des langues,Lista de lenguas,NA,NA,NA,NA,لست زبان ها,د ژبو نوملړ
lang_title,Language,Langue,Lengua,NA,NA,NA,NA,زبان,ژبه
license_desc,"If any, description of the data licenses","Si applicable, description des licences de la donnée","Si aplica, descripción de la licencias de los datos",NA,NA,NA,NA,اگر هر گونه، شرح مجوز اطلاعات,که د ډیټا د جواز هر ډول تشریح
license_item_title,License,Licence,Licencia,NA,NA,NA,NA,مجوز,جواز
license_list_desc,Name and/or description of the licence,Nom et/ou description de la licence,Nombre o descripción de la licencia,NA,NA,NA,NA,نام و/یا شرح مجوز,د جواز نوم او یا تشریح
license_list_title,List of licences,Liste des licences,Lista de licencias,NA,NA,NA,NA,لست مجوز ,د جوازونو نوملړ
license_name,Name,Nom,Nombre,NA,NA,NA,NA,نام,نوم
license_text,Text,Texte,Texto,NA,NA,NA,NA,متن,متن
license_title,Licensing,Licence,Licencias,NA,NA,NA,NA,صدور مجوز,جواز ورکونه
maintainer,Maintainer,Mainteneur,Encargado de mantenimiento,NA,NA,NA,NA,نگهدارنده,ساتونکئ
monthly,Data is updated each month,La donnée est mise à  jour tous les mois,Los datos son actualizados todos los meses,NA,NA,NA,NA,اطلاعات هر ماه تجدید می شوند,ډیټا په میاشتني ډول نوې کیږي
msg_error_duplicate,This source already exists and is available for you,Cette source existe déjà et est disponible pour vous,Este recurso ya existe y está disponible para usted,NA,NA,NA,NA,این منبع از قبل موجود و در دسترس شما است,دا سرچینه له مخکې شتون لري او ستاسو لپاره د لاسرسي وړ ده
msg_error_import,Data was not imported,La donnée n'a pas été importée,Los datos no fueron importados,NA,NA,NA,NA,اطلاعات وارد نشد ,ډیټا داخله نه شوه
msg_process_wait,"Data is processed, please wait","La donnée est préparée, veuillez attendre","Procesando datos, por favor, espere",NA,NA,NA,NA,اطلاعات پروسس شد، لطفا صبر نمایید,ډیټا پروسس شوه، مهرباني وکړئ په تمه اوسئ
msg_success_delete,Source successfully removed,Source supprimée avec succès,Recurso eliminado exitosamente,NA,NA,NA,NA,ابرداده با موفقیت حذف شد,سرچینه په بریالیتوب سره پاکه شوه
msg_success_import,Data imported successfully,Donnée importée avec succès,Datos importados exitosamente,NA,NA,NA,NA,اطلاعات با موفقیت وارد شدند,ډیټا په بریالیتوب سره داخله شوه
msg_success_update,Meta data successfully updated,Métadonnées mises à jour,Matadatos actualizados,NA,NA,NA,NA,ابرداده با موفقیت به روز شد ,میټا ډیټا په بریالیتوب سره نوې شوه
no,No,Non,No,NA,NA,NA,NA,نخیر,نه
not_planned,There are no plans to update the data,La donnée n'a pas de mise à jour prévue,No hay planes para actualizar los datos,NA,NA,NA,NA,هیچ برنامه ای برای تجدید اطلاعات وجود ندارد,د ډیټا د نوي کولو کوم پلان شتون نلرې
optional_view_show_attribute_preview,Show a summary of the attributes names and values,Afficher un résumé des attributs,Monstrar resumen de los nombres y valores de los atributos,NA,NA,NA,NA,خلاصه ای از نام های ویژه گی و مقادیر را نمایش دهید,د ځانګیړنو د نومونو او ارزښتونو لنډیز ښکاره کړئ
optional_view_text,Select an attribute from the source to create a simple view or click on finish to end the importation,"Sélectionnez un attribut de la source pour créer une vue simple ou cliquez sur finir pour terminer l'importation,",Seleccione un atributo para crear una vista simple o haga clic en Finalizar para finalizar la importación,NA,NA,NA,NA,یک ویژگی از منبع برای ایجاد یک نمای ساده انتخاب کنید یا روی دکمه پایان کلیک کنید تا واردات را پایان دهید,د ساده لیدنې لپاره د سرچینې څخه ځانګیړنه وټاکئ او یا د داخلولو د پای لپاره پای کیکاږئ
optional_view_title,Optional creation of a new view,Création facultative d'une nouvelle vue,Creación opcional de una vista,NA,NA,NA,NA,ایجاد اختیاری یک نمای جدید,د نوې لیدنې اختیاري جوړونه
origin_desc,Origin of the data and how to retrieve it,Origine de la donnée et comment la récupérer,Origen de los datos y cómo puedo obtenerlos,NA,NA,NA,NA,اصلیت اطلاعات و روش بازیابی آن,د ډیټا اصلیت او د بیا ترلاسه کولو څرنګوالئ
origin_homepage_desc,Homepage for the data,Page d'accueil de la donnée,Página principal de los datos,NA,NA,NA,NA,صفحه اصلی برای اطلاعات,د اطلاعاتو لپاره اصلي صفحه
origin_homepage_item_title,Homepage (URL),Page d'accueil (URL),Página principal (URL),NA,NA,NA,NA,صفحه اصلی (URL),اصلي صفحه (URL)
origin_homepage_title,Homepage,Page d'accueil,Página principal,NA,NA,NA,NA,صفحه اصلی,اصلي صفحه
origin_source_is_full_request_title,The url contain a request to retrieve the data automatically,L'URL contient une requête pour récupérer automatiquement la donnée,La URL contiene una consulta para recuperar automáticamente los datos,NA,NA,NA,NA, دارایی یک درخواست جهت بازیابی اطلاعات به شکل خودکار میباشد URL, کې په اتومات ډول سره د ډیټا د بیا ترلاسه کولو لپاره غوښتنلیک شتون لری  URLپه
origin_sources_desc,Method to retrieve the data,Méthode de récupération de la donnée,Método para obtener los datos,NA,NA,NA,NA,روش بازیابی اطلاعات,د ډیټا د بیا ترلاسه کولو میټوډ
origin_sources_list,List of sources,Liste des sources,Lista de recursos,NA,NA,NA,NA,لست منابع,د سرچینو نوملړ
