"id","en","fr","es","ru","zh","de","bn","fa","ps"
"ext","Extractive","Extractif","","","","","","مواد استخراجی","استخراجي"
"fold_view_legend","Legend","Légende","","","","","","علایم","نښې"
"fold_view_tools","Tools","Outils","","","","","","ابزار","وسایل"
"fold_views_class","Filter views by classes","Filtrer les vues par classe","","","","","","فلتر نمایه ها به اساس صنف ها","د صنفونو په اساس لیدنې فلټر کړئ"
"fold_views_filter","Filter options","Filtres","","","","","","گزینه های فلتر","د فلټر انتخابونه"
"fold_views_sort","Sort views","Classer les vues","","","","","","مرتب سازی نمایه ها","لیدنې ترتیب کړئ"
"gj","Local GeoJSON","GeoJSON local","","","","","",""""
"inf","Infrastructure","Infrastructure","","","","","","زیر بنا","زیربنا"
"interval","Interval","Intervalle","","","","","","فاصله","انټروال"
"layer","Layer","Couche","","","","","","لایه","لایه"
"left","Left","Gauche","","","","","","چپ","کیڼ"
"line","Line","Ligne","","","","","","خط","خط"
"loading_img","Image loading, please wait ...","Chargement de l'image, veuillez patienter ...","","","","","","تصویر در حال اجرا، لطفا منتظر باشید...","انځور ښکاره کیږي، مهرباني وکړی په تمه و اوسئ ..."
"login_cancel","Cancel","Annuler","","","","","","لغو","لغوه کړی"
"login_country","Project or country name in which the role applies","Projet ou nom du pays dans lequel le rôle s'applique","","","","","","نام پروژه یا کشور که در آن نقش عملی میشود","د هیواد او یا پروژې نوم چې رول (نقش) پکې پلی کیږي"
"login_email","Email","Email","","","","","","آدرس الکترونیکی","بریښنالیک"
"login_insert_pwd","Insert the single usage password","Entrez le mot de passe à usage unique","","","","","","رمز عبور را وارد نمایید","د واحد کارولو پټ کوډ د ننه کړی"
"login_out","Log out","Quitter","","","","","","خروج","وتل"
"login_role","Role","Role","","","","","","نقش","رول (نقش)"
"login_send_pwd","Send","Envoyer","","","","","","ارسال","لیږل"
"login_subtitle","Please enter your email to receive a single usage secure password.. ","Veuillez entrer votre adresse email pour recevoir un mot de passe sécurisé,  à usage unique.","","","","","","لطفا آدرس الکترونیکی خود را جهت دریافت رمز عبور وارد نمایید","مهرباني وکړئ د خپل بریښنالیک پته د پټ کوډ د واردولو لپاره د ننه کړی"
"login_title","Log in","Identification ","","","","","","ورود","ننوتل"
"more","More","Plus","","","","","","بیشتر","نور"
"noAbstract","[ Abstract missing ]","[ Résumé manquant ]","","","","","","فاقد خلاصه","لنډیز شتون نلري"
"noData","[ Missing value ]","[ Donnée manquante ]","","","","","","فاقد قیمت","ارزښت شتون نلري"
"noFilter","[ No filter ]","[ Sans filtre ]","","","","","","عدم موجودیت فلتر","فلتر شتون نلري"
"noLayer","[ No source layer ]","[ Pas de couche source ]","","","","","","فاقد لایه منبع","د لایې سرچینه شتون نلري"
"none","None","Aucun","","","","","","هیچکدام","هیڅ یو"
"noSelect","[ Empty selection ]","[ Sélection vide ]","","","","","","فاقد انتخاب ","انتخاب خالي دی"
"noTitle","[ Title missing ]","[ Titre manquant ]","","","","","","فاقد عنوان","عنوان شتون نلري"
"noVariable","[ Missing value ]","[ Donnée manquante ]","","","","","","فاقد قیمت","ارزښت شتون نلري"
"noView","[ No view available ]","[ Pas de vue disponible ]","","","","","","نمایش در دسترس نیست ","لیدنه شتون نلري"
"nrg","Energy","Energie","","","","","","انرژی","انرژي"
"old_add_view","Add a new view","Ajouter une vue","","","","","","افزودن نمای جدید","نوې لیدنه اضافه کړئ"
"oth","Other","Autre","","","","","","سایر","نور"
"point","Point","Point","","","","","","نقطه","نقطه"
"pol","Politics","Politique","","","","","","سیاست","سیاسي"
"polygon","Polygon","Polygone","","","","","","چند ضلعی","څو ضلعي"
"public","Everyone","Tout le monde","","","","","","همه","هرڅوک"
"publish","Publish","Publier","","","","","","نشر","خپرول"
"publisher","Publisher","Editeur","","","","","","ناشران","خپروونکي"
"right","Right","Droite","","","","","","راست","ښی"
"rt","Raster tiles","Tuiles raster","","","","","","تایل راستری","رسټري ټیلونه"
"sat","Satellite imagery","Imagerie satellite","","","","","","تصویر ستلایتی","سټلایټي تصویر"
"save","Save","Sauvegarder","","","","","","ذخیره","ساتل"
"schema_class","Class","Classe","","","","","","صنف","صنف"
"schema_nulls","Missing values","Valeur manquante","","","","","","",""
"schema_color","Color","Couleur","","","","","","رنگ ","رنګ"
"schema_description","Description","Description","","","","","","توضیحات","تفصیل"
"schema_item","Item","Objet","","","","","","بخش","توکی"
"schema_key","Key","Clé","","","","","","کلید","کلۍ"
"schema_label","Label","Etiquette","","","","","","لیبل","نښه"
"schema_last_rule","Last rule","Dern. règle","","","","","","قانون آخر","وروستی قانون"
"schema_metadata","Meta data","Meta données","","","","","","ابرداده","میټا ډيټآ"
"schema_method","Method","Méthode","","","","","","روش","میتود"
"schema_opacity","Opacity","Opacité","","","","","","مکدریت","مکدریت"
"schema_rule","Rule","Règle","","","","","","قانون","قانون"
"schema_rules","Rules","Règles","","","","","","قوانین","قوانین"
"schema_size","Size","Taille","","","","","","اندازه","اندازه"
"schema_sprite","Symbol","Symbole","","","","","","سمبول","سمبول"
"schema_story_author","Author of the story","Auteur du récit","","","","","","مولف داستان","د تاریخچې لیکونکی"
"schema_story_map_pos","Position of the map","Position de la carte","","","","","","موقعیت نقشه","د نقشې ځای"
"schema_story_meta","Metadata","Métadonées","","","","","","ابرداده","میتا ډیټا"
"schema_story_org","Organisation name","Nom de l’organisation","","","","","","نام سازمان","د سازمان نوم"
"schema_story_pos_get","Update using current map parameters","Mettre à jour avec les paramètres actuels de la carte","","","","","","تجدید با استفاده از پارامتر های موجود","د اوسنۍ نقشې پارامترونه آپډیټ کړئ"
"schema_story_slide","Slide","Slide","","","","","","رانش","ښوئېدل"
"schema_story_slide_color"," Color theme"," Thème","","","","","","رنگ موضوع","د شالید رنګ"
"schema_story_slide_color_bg","Background color","Couleur de l'arrière plan","","","","","","رنگ پس زمینه","د شالید رنګ"
"schema_story_slide_color_fg","Text color","Couleur du texte","","","","","","رنگ متن","د متن رنګ"
"schema_story_slide_config","Configuration","Configuration","","","","","","عیار سازی","عیارول"
"schema_story_slide_layout"," Content layout"," Disposition du contenu","","","","","","طراحی محتوا","د منځپانګې ترتیب"
"schema_story_slide_opacity_bg","Background opacity","Opacité de l'arrière plan","","","","","","مکدریت پس زمینه","د شالید مکدریت"
"schema_story_slide_pos_z"," Depth (z axis)"," Profondeur (axe z)","","","","","","عمق (محور z)","ژوروالی (Z محور)"
"schema_story_slide_speed","Speed ratio","Vitesse de défilement","","","","","","تناسب سرعت","د چټکتیا نسبت"
"schema_story_slides","Slides","Slides","","","","","","رانش ها","ښوئېدنې"
"schema_story_step ","Step","Étape","","","","","","مرحله","مرحله"
"schema_story_step_content","Content","Contenu","","","","","","محتویات","منځپانګې"
"schema_story_step_title","Title ","Titre","","","","","","عنوان","عنوان"
"schema_story_steps","Steps","Étapes","","","","","","مراحل","مرحلې"
"schema_story_steps_title","Steps of the story","Étapes du récit","","","","","","مرحله از تاریخ","د تاریخچې مرحلې"
"schema_story_text_pos","Text position","Position du texte","","","","","","موقعیت متن","د متن ځای"
"schema_story_title","Story","Récit","","","","","","داستان","تاریخچه"
"schema_value","Value","Valeur","","","","","","قیمت","ارزښت"
"self","Myself","Moi même","","","","","","بنده","زه خپله"
"sm","Story","Récit","","","","","","تاریخچه","تاریخچه"
"soc","Social","Social","","","","","","اجتماعی","ټولنیز"
"source_meta_data","Metadata for the source","Métadonnées de la source","","","","","","عناوین برای منابع","د سرچینو لپاره عنوانونه"
"source_raster_tile_legend","Url of the legend (png)","Url de la legend (png)","","","","","",""""
"source_raster_tile_size","Size of the tiles (pixels)","Taille des tuiles (pixels)","","","","","","اندازه پکسل ها","د پکسلونو اندازه"
"source_raster_tile_url","Url of tiles endpoint ","Url du serveur de tuiles","","","","","","آدرس پکسل های آخری","د وروستیو پکسلونو پته"
"source_raster_tile_url_metadata","Link to the metadata","Lien vers les métadonnées","","","","","",""""
"source_select_geometry","Source geometry type","Type de géométrie","","","","","","انواع منبع هندسی","د هندسي ډولونو سرچینه"
"source_select_layer","Source layer","Couche source","","","","","","لایه اصلی","د سرچینې لایه"
"source_select_layer_mask","Source layer mask","Couche source masque","","","","","","منبع لایه ماسک","د ماسک لایې سرچینه"
"source_select_variable","Source variable","Variable","","","","","","متحول اصلی","اصلي متغیر"
"source_select_variable_alt","Secondary source variables","Variables secondaires","","","","","",""""
"download_select_format_vector","Output format","Format de sortie","","","","","",""""
"download_file_name","Filename","Nom du fichier","","","","","",""""
"source_sum_geom_type","Type of the geometry","Type de géométrie","","","","","","انواع هندسی","هندسي ډولونه"
"source_sum_n_distinct","Number of distinct values","Nombre de valeurs distinctes","","","","","","تعداد  قیمت های متمایز","د مختلفو ارزښتونو تعداد"
"source_sum_n_null","Number of missing or null values","Nombre de valeurs manquantes ou nulles","","","","","","تعداد  قیمت های از دست رفته یا خالی","د لاسه وتلو او یا خالي قیمتونو تعداد"
"source_sum_n_row","Number of values","Nombre de valeurs  ","","","","","","تعداد قیمت ها","د ارزښتونو تعداد"
"source_sum_sample","Sample values","Echantillon de valeurs","","","","","","مقادیر نمونه","د بېلګو اندازه"
"source_sum_title","Variable summary","Résumé des valeurs","","","","","","خلاصه متحول ","متغیر لنډیز"
"source_sum_variable_type","Type of the variable","Type de la variable","","","","","","انواع متحول","د متغیر لنډیز ډولونه"
"source_summary_check","Show variable summary","Afficher le résumé de la variable","","","","","","نمایش خلاصه متحول","متغیر لنډیز ښکاره کړئ"
"source_time_range","Time range","Etendue temporelle","","","","","","محدوده زمانی","د وخت محدوده"
"source_title","Source title","Titre de la source","","","","","","عنوان اصلی","د سرچینې عنوان"
"str","Stress","Stress","","","","","","فشار","فشار"
"superuser","Superuser","Super-utilisateur","","","","","","ابر کاربران","لوی ګټه اخیستونکي"
"title_app","Map-x","Map-x","","","","","","MAP-X","MAP-X"
"title_settings","Settings","Préférences","Preferencias","","","","","تنظیمات","امستنې (تنظیمات)"
"title_settings_colors","Theme config","Configurateur de themes","","","","","",""""
"title_tools","Tools","Outils","Utilidades","","","","","ابزار","توکي"
"title_tools_db","Database","Base de données","","","","","","DB"""
"title_tools_admin","Admin","Admin","","","","","","",""
"title_tools_config","Configuration","Configuration","","","","","","",""
"title_tools_map","Map","Carte","","","","","","نقشه","نقشه"
"title_tools_share","Share","Partager","","","","","",""""
"title_tools_sources","Sources","Sources","","","","","","منابع","سرچینې"
"title_tools_views","Views","Vues","","","","","","نمایش","لیدنې"
"title_views","Views","Vues","Vistas","","","","","نمایش","نظرونه"
"title_about","About","À propos","","","","","","",""
"top","Top","En haut","","","","","","بالا","پورته"
"ui_country","Select country","Sélectionnez le pays","","","","","","انتخاب کشور","هیواد وټاکی"
"ui_language","Language of the interface","Langue de l'interface","Idioma de la interfaz.","Язык интерфейса.","界面语言。","Sprache für das Interface.","ইন্টারফেস ভাষা","زبان رابط","د اړیکې ژبه"
"update_view_list","Update view list","Mise à jour de la liste des vues","","","","","","تجدید لست نمایش","د لیدنو لسټ آپدیټ کړئ"
"user","Registered user","Utilisateur enregistré","","","","","","کاربران ثبت شده","ثبت شوي ګټه اخیستونکي"
"view","View","Vue","","","","","","نمایش","ښکاره کول"
"view_abstract","View abstract","Résumé de la vue","","","","","","نمایش خلاصه","لنډیز وګورئ"
"view_add_dashboard","Add a dashboard","Ajouter un dashboard","","","","","",""""
"view_add_download_btn","Allow download of the source","Autoriser le téléchargement de la source","","","","","",""""
"view_add_overlap_layer","Add a mask","Ajouter un masque","","","","","","افزودن نقاب","د ماسک زیاتول"
"view_classes","Classes","Classes","","","","","","طبقه ها","صنفونه"
"view_collections","Collections","Collections","","","","","",""""
"view_countries","Other countries where the view is visible","Autres pays où la vue est visible","","","","","",""""
"view_country","Country of the view","Pays de la vue","","","","","",""""
"view_dashboard","Dashboard","Dashboard","","","","","",""""
"view_dashboard_config","Configure a dashboard","Configurer un dashboard","","","","","",""""
"view_dashboard_script","Your script","Votre script","","","","","",""""
"view_dashboard_src_layerChange","All attributes and values from the displayed features","Tous les attributs et valeurs affichés de la couche affichée","","","","","",""""
"view_dashboard_src_layerClick","All attributes and values from the clicked feature","Tous les attributs et valeurs de l'élement cliqué","","","","","",""""
"view_dashboard_src_none","None. Value provided by the script.","Aucune. Valeurs données dans le script","","","","","",""""
"view_dashboard_src_view","The frequency table of the selected attribute","La table de fréquence de l'attribut sélectionné","","","","","",""""
"view_dashboard_title","Dashboard title","Titre du dashboard","","","","","",""""
"view_dashboard_txt_height","Height class","Classe pour la hauteur","","","","","",""""
"view_dashboard_txt_script","Your script","Votre script","","","","","",""""
"view_dashboard_txt_which_data","Which source to use for the data ?","Quelle source utiliser pour les données?","","","","","",""""
"view_dashboard_txt_width","Width class","Classe pour la largeur","","","","","",""""
"view_dashboard_widget","Widget","Widget","","","","","",""""
"view_dashboard_widgets","Widgets","Widgets","","","","","",""""
"view_delete_confirm","Click on the confirm button to delete this view, its history and all translations.","Cliquer sur le button de confirmation pour supprimer cette vue, ainsi que son historique et toutes les traductions.","","","","","","بالای کلید تایید کلیک نمایید تا این نمایش، تاریخچه اش و تمام ترجمه هایش حذف گردد.","ددې لیدنې، د هغې د تاریخچې او ټولو ژباړو د پاکولو لپاره د تائید تڼۍ کیکاږئ "
"view_download_layer","Download the source layer","Télécharger la couche source","","","","","","دانلود لایه منبع ","د لایې سرچینه ډانلوډ کړئ"
"view_edit_current","Edit view","Edition de la vue","","","","","",""""
"view_id","View identifier","Identifiant de la vue","","","","","","نمایش مشخص کننده","پېژندونکی وګورئ"
"view_new_created","View created","Vue créée","","","","","","نمایه ایجاد شد","لیدنه جوړه شوه"
"view_new_text","Create a new View","Créer une vue","","","","","","ایجاد نمای جدید و افزودن آن به لست ","نوې لیدنه جوړه او لست ته یې اضافه کړئ"
"view_no_layer_found","No source layer found","Pas de couche source trouvée.","","","","",""," لایه منبع یافت نشد","د لایې سرچینه و نه موندل شوه"
"view_num_overlap","Number of overlaps","Nombre de chevauchements","","","","","","تعداد لایه های روی هم قرار گرفته","پر یوبل باندې د پرتو لایو شکیر"
"view_filter_input","Filter views ...","Filtrer les vues ...","","","","",""," جستجوی نمایه","لټون وګوری"
"view_search_values","Search values","Rechercher des valeurs","","","","",""," جستجوی ارقام","د لټون اندازه"
"view_show_abstract_languages","Show other languages abstract","Afficher le résumé dans les autres langues","","","","","","نمایش خلاصه به سایر زبانها","د نورو ژبو خلاصه (لنډیز)"
"view_show_title_languages","Show other languages titles","Afficher le titre dans les autres langues","","","","","","نمایش عناوین به سایر زبانها","د نورو ژبو د عنوانونو ښودل"
"view_target","Target group. Who can view this.","Groupe cible. Qui peut voir cette vue.","","","","","","گروه مورد نظر، کی دیده میتواند","هدف شوې ډله، څوک کولای شي دا وویني"
"view_text","View text"," Texte de la vue","","","","","","نمایش متن ","متن وګوری"
"view_title","View title","Titre de la vue","","","","","","نمایش عنوان","عنوان وګورئ"
"view_type_select","Type of the view","Type de la vue","","","","","","نوع نما","د لیدنې ډول"
"vt","Vector tiles","Tuiles vectorielles","","","","","","تایل ویکتوری","ویکتوري ټیلونه"
"wms","Web Map Service (wms)","Web Map Service (wms)","","","","","","خدمات آنلاین نقشه (WMS)","د نقشې آنلاین خدمتونه"
"src_download_issues","The source can't be downloaded","La source ne peut être téléchargée","","","","","","",""
"you_not_logged_in","you are not logged in","vous n'êtes pas loggé","","","","","","",""
"src_download_disabled","the source download is not allowed","le téléchargement n'est pas permis","","","","","","",""

